Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
DOSPERT Risk-Taking Financial with Local-Global Letter Task HDDM Drift of Conflict,194,-.0075,-.1756,.1498,.3254,.0885,.0811
DOSPERT Risk-Taking Financial with Local-Global Letter Task HDDM Drift,194,-.0161,-.1583,.1210,.2793,.1808,.1647
DOSPERT Risk-Taking Financial with Local-Global Letter Task HDDM Non-Decision,194,.1010,-.0412,.2341,.2753,.1249,.0239
DOSPERT Risk-Taking Financial with Local-Global Letter Task HDDM Threshold,194,-.0385,-.1870,.1088,.2959,.1061,.0677
DOSPERT Risk-Taking Financial with Local-Global Letter Task HDDM Drift of Switch Cost,194,.1125,-.0346,.2503,.2849,.1303,.0178
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal Reaction Time,361,.0805,-.0235,.1811,.2046,.1070,.0266
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal HDDM Drift,361,-.1161,-.2202,-.0130,.2072,.1498,.0337
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal HDDM Non-Decision,361,.0475,-.0697,.1610,.2307,.0916,.0441
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal HDDM Threshold,361,-.0742,-.1754,.0312,.2066,.1025,.0283
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal Reactive Control,361,.0910,-.0165,.1996,.2160,.1168,.0258
DOSPERT Risk-Taking Financial with Motor Selective Stop Signal Proactive Control,361,-.0616,-.1517,.0297,.1814,.1117,.0501
DOSPERT Risk-Taking Financial with Probabilistic Selection Task Positive Learning Bias,369,.1195,.0014,.2408,.2394,.1264,.0070
DOSPERT Risk-Taking Financial with Probabilistic Selection Task Value Sensitivity,369,-.1121,-.2307,.0028,.2336,.1201,.0081
DOSPERT Risk-Taking Financial with Psychological Refractory Period Slope,515,-.0361,-.1215,.0506,.1721,.0717,.0356
DOSPERT Risk-Taking Financial with Raven Progressive Matrices,522,-.0239,-.1102,.0596,.1698,.0830,.0590
DOSPERT Risk-Taking Financial with Shift Task Accuracy,512,.0043,-.0838,.0923,.1761,.0758,.0715
DOSPERT Risk-Taking Financial with Shift Task Learning Rate,512,-.0208,-.1046,.0636,.1682,.0731,.0523
DOSPERT Risk-Taking Financial with Simon Task HDDM Drift,519,-.0353,-.1235,.0540,.1775,.0700,.0347
DOSPERT Risk-Taking Financial with Simon Task HDDM Non-Decision,519,-.0198,-.1063,.0653,.1717,.0633,.0435
DOSPERT Risk-Taking Financial with Simon Task HDDM Threshold,519,-.0061,-.0872,.0786,.1658,.0545,.0484
DOSPERT Risk-Taking Financial with Simon Task HDDM Drift of Simon Effect,519,.0552,-.0315,.1403,.1718,.0713,.0162
DOSPERT Risk-Taking Financial with Simple Reaction Time Average Reaction Time,517,.0661,-.0192,.1521,.1714,.0783,.0121
DOSPERT Risk-Taking Financial with Spatial Span Forward Span,522,.0225,-.0672,.1115,.1787,.0954,.0729
DOSPERT Risk-Taking Financial with Spatial Span Reverse Span,522,-.0190,-.1125,.0730,.1855,.0782,.0592
DOSPERT Risk-Taking Financial with Stimulus Selective Stop Signal Reaction Time,458,.0270,-.0687,.1230,.1917,.1019,.0749
DOSPERT Risk-Taking Financial with Stimulus Selective Stop Signal HDDM Drift,458,-.0631,-.1608,.0320,.1928,.1264,.0633
DOSPERT Risk-Taking Financial with Stimulus Selective Stop Signal HDDM Non-Decision,458,-.1014,-.1980,-.0044,.1936,.1213,.0199
DOSPERT Risk-Taking Financial with Stimulus Selective Stop Signal HDDM Threshold,458,.0007,-.0937,.0997,.1934,.0660,.0653
DOSPERT Risk-Taking Financial with Stop Signal Reaction Time High,478,.0460,-.0355,.1256,.1611,.0826,.0366
DOSPERT Risk-Taking Financial with Stop Signal Reaction Time Low,478,.0080,-.0770,.0915,.1685,.0738,.0658
DOSPERT Risk-Taking Financial with Stop Signal HDDM Drift,478,-.0608,-.1556,.0382,.1938,.1033,.0425
DOSPERT Risk-Taking Financial with Stop Signal HDDM Non-Decision,478,-.0019,-.0972,.0884,.1856,.0811,.0792
DOSPERT Risk-Taking Financial with Stop Signal HDDM Threshold,478,-.0406,-.1230,.0491,.1721,.0807,.0400
DOSPERT Risk-Taking Financial with Stop Signal Proactive Reaction Time Speeding,478,-.0421,-.1216,.0399,.1615,.0999,.0578
DOSPERT Risk-Taking Financial with Stop Signal Proactive Reaction Time Slowing,478,.0361,-.0647,.1355,.2002,.0608,.0247
DOSPERT Risk-Taking Financial with Stroop HDDM Drift,521,-.0434,-.1284,.0415,.1699,.0854,.0419
DOSPERT Risk-Taking Financial with Stroop HDDM Non-Decision,521,-.0037,-.0840,.0785,.1625,.0663,.0626
DOSPERT Risk-Taking Financial with Stroop HDDM Threshold,521,-.0927,-.1728,-.0091,.1637,.1040,.0114
DOSPERT Risk-Taking Financial with Stroop HDDM Drift of Stroop Effect,521,-.0089,-.1101,.0937,.2038,.0873,.0783
DOSPERT Risk-Taking Financial with Tower of London Average Move Time,521,-.0128,-.0973,.0767,.1739,.0738,.0609
DOSPERT Risk-Taking Financial with Tower of London Number of Extra Moves,522,.0677,-.0224,.1583,.1807,.0823,.0147
DOSPERT Risk-Taking Financial with Tower of London Number of Optimal Solutions,522,-.0571,-.1431,.0266,.1697,.0802,.0231
DOSPERT Risk-Taking Financial with Tower of London Planning Time,522,-.0211,-.1023,.0620,.1643,.0648,.0437
DOSPERT Risk-Taking Financial with Two-Stage Decision Model-Based,435,-.0002,-.1062,.1061,.2123,.0731,.0729
DOSPERT Risk-Taking Financial with Two-Stage Decision Model-Free,435,-.0853,-.1896,.0190,.2086,.0976,.0123
DOSPERT Risk-Taking Financial with Two-Stage Decision Perseverance,435,-.1003,-.1900,-.0099,.1801,.1082,.0080
DOSPERT Risk-Taking Financial with Writing Task Neutral Probability,522,-.1874,-.2720,-.1021,.1698,.1902,.0028
DOSPERT Risk-Taking Financial with Writing Task Positive Probability,522,.0381,-.0452,.1210,.1663,.1025,.0644
DOSPERT Risk-Taking Financial with Body Mass Index,518,-.0996,-.1807,-.0130,.1677,.1276,.0281
DOSPERT Risk-Taking Financial with K6 Nervous,522,.0055,-.0854,.0984,.1837,.0576,.0521
DOSPERT Risk-Taking Financial with K6 Hopeless,522,.0282,-.0601,.1181,.1782,.0407,.0125
DOSPERT Risk-Taking Financial with K6 Restless/Fidgety,522,.0356,-.0501,.1199,.1700,.0707,.0351
DOSPERT Risk-Taking Financial with K6 Depressed,522,.0717,-.0160,.1598,.1757,.0690,-.0028
DOSPERT Risk-Taking Financial with K6 Everything an Effort,522,.0003,-.0824,.0845,.1669,.0499,.0496
DOSPERT Risk-Taking Financial with K6 Worthless,522,.0422,-.0455,.1344,.1800,.0534,.0112
DOSPERT Risk-Taking Financial with Cigarettes Per Day,522,.0129,-.0771,.1050,.1821,.0691,.0561
DOSPERT Risk-Taking Financial with How Many Drinks When Drinking,522,.1526,.0487,.2575,.2087,.1501,-.0025
DOSPERT Risk-Taking Financial with How Often 6+ Drinks,522,.2285,.1413,.3152,.1738,.2211,-.0074
DOSPERT Risk-Taking Financial with How Often Unable to Stop Drinking,522,.1178,.0318,.2122,.1804,.1190,.0012
DOSPERT Risk-Taking Health/Safety with DOSPERT Risk-Taking Recreational,522,.3926,.3131,.4665,.1534,.3558,-.0368
DOSPERT Risk-Taking Health/Safety with DOSPERT Risk-Taking Social,522,.3121,.2323,.3879,.1556,.2846,-.0275
DOSPERT Risk-Taking Health/Safety with Three-Factor Eating Questionnaire Cognitive Restraint,522,-.0426,-.1380,.0568,.1949,.0801,.0375
DOSPERT Risk-Taking Health/Safety with Three-Factor Eating Questionnaire Emotional Eating,522,.1097,.0216,.1972,.1755,.1373,.0277
DOSPERT Risk-Taking Health/Safety with Three-Factor Eating Questionnaire Uncontrolled Eating,522,.1944,.1106,.2786,.1681,.2160,.0216
DOSPERT Risk-Taking Health/Safety with Emotion Regulation Questionnaire Reappraisal,522,-.0272,-.1208,.0683,.1890,.0814,.0542
DOSPERT Risk-Taking Health/Safety with Emotion Regulation Questionnaire Suppression,522,.1228,.0343,.2113,.1770,.1178,-.0050
DOSPERT Risk-Taking Health/Safety with FFMQ Acting with Awareness,522,-.2062,-.2960,-.1129,.1832,.2277,.0216
DOSPERT Risk-Taking Health/Safety with FFMQ Describing,522,-.0891,-.1730,-.0063,.1667,.1479,.0588
DOSPERT Risk-Taking Health/Safety with FFMQ Non-Judging of Experience,522,-.2266,-.3152,-.1370,.1782,.2125,-.0141
DOSPERT Risk-Taking Health/Safety with FFMQ Non-Reactivity to Experience,522,-.0866,-.1845,.0119,.1963,.1112,.0246
DOSPERT Risk-Taking Health/Safety with FFMQ Observing,522,-.0378,-.1289,.0534,.1824,.0917,.0539
DOSPERT Risk-Taking Health/Safety with Carstensen Future Time Perspective,522,-.0784,-.1691,.0149,.1839,.1096,.0312
DOSPERT Risk-Taking Health/Safety with Grit Scale,522,-.2191,-.3101,-.1276,.1825,.2298,.0107
DOSPERT Risk-Taking Health/Safety with Eysenck I-7 Impulsiveness,522,.3057,.2178,.3923,.1746,.2999,-.0058
DOSPERT Risk-Taking Health/Safety with Eysenck I-7 Venturesomeness,522,.3530,.2744,.4255,.1511,.3274,-.0256
DOSPERT Risk-Taking Health/Safety with Stanford Leisure Time Activities,522,.0378,-.0540,.1307,.1848,.0770,.0392
DOSPERT Risk-Taking Health/Safety with Mindful Attention and Awareness Scale,522,-.2215,-.3108,-.1317,.1791,.2337,.0123
DOSPERT Risk-Taking Health/Safety with Multidimensional Personality Questionnaire Control,522,-.3359,-.4236,-.2439,.1797,.3238,-.0121
DOSPERT Risk-Taking Health/Safety with SOC Compensation,494,-.1405,-.2250,-.0562,.1688,.1496,.0091
DOSPERT Risk-Taking Health/Safety with SOC Elective Selection,511,-.1854,-.2682,-.1030,.1652,.2028,.0173
DOSPERT Risk-Taking Health/Safety with SOC Loss-Based Selection,457,-.1432,-.2279,-.0580,.1699,.1395,-.0037
DOSPERT Risk-Taking Health/Safety with SOC Optimization,493,-.1465,-.2356,-.0567,.1789,.1515,.0050
DOSPERT Risk-Taking Health/Safety with Short Self-Regulation Questionnaire,522,-.2675,-.3610,-.1732,.1878,.2715,.0040
DOSPERT Risk-Taking Health/Safety with SSS Boredom Susceptibility,508,.3372,.2474,.4214,.1740,.3192,-.0180
DOSPERT Risk-Taking Health/Safety with SSS Disinhibition,512,.4687,.3942,.5414,.1472,.4315,-.0371
DOSPERT Risk-Taking Health/Safety with SSS Experience-Seeking,510,.2964,.2129,.3736,.1607,.2668,-.0296
DOSPERT Risk-Taking Health/Safety with SSS Thrill-Seeking,510,.3236,.2458,.3983,.1525,.3060,-.0176
DOSPERT Risk-Taking Health/Safety with TIPI Agreeableness,522,-.2782,-.3620,-.1901,.1718,.2815,.0033
DOSPERT Risk-Taking Health/Safety with TIPI Conscientiousness,522,-.2368,-.3240,-.1479,.1761,.2459,.0091
DOSPERT Risk-Taking Health/Safety with TIPI Emotional Stability,522,-.1018,-.1939,-.0088,.1851,.1187,.0168
DOSPERT Risk-Taking Health/Safety with TIPI Extraversion,522,.0541,-.0426,.1499,.1925,.0897,.0356
DOSPERT Risk-Taking Health/Safety with TIPI Openness to Experience,522,.0740,-.0125,.1604,.1729,.0943,.0203
DOSPERT Risk-Taking Health/Safety with Theories of Willpower Scale,522,.0919,-.0028,.1838,.1865,.1198,.0278
DOSPERT Risk-Taking Health/Safety with Zimbardo Time Perspective Inventory Past Negative,522,.1727,.0847,.2589,.1742,.1746,.0019
DOSPERT Risk-Taking Health/Safety with Zimbardo Time Perspective Inventory Past Positive,522,-.1436,-.2353,-.0528,.1825,.1578,.0143
DOSPERT Risk-Taking Health/Safety with Zimbardo Time Perspective Inventory Present Fatalistic,522,.1953,.0946,.2900,.1954,.1904,-.0050
DOSPERT Risk-Taking Health/Safety with Zimbardo Time Perspective Inventory Present Hedonistic,522,.2888,.2068,.3653,.1585,.2713,-.0175
DOSPERT Risk-Taking Health/Safety with UPPS-P Lack of Perseverance,522,.2022,.1140,.2920,.1780,.2063,.0042
DOSPERT Risk-Taking Health/Safety with UPPS-P Lack of Premeditation,522,.2953,.2081,.3796,.1715,.2752,-.0202
DOSPERT Risk-Taking Health/Safety with UPPS-P Negative Urgency,522,.3314,.2387,.4199,.1812,.3357,.0043
DOSPERT Risk-Taking Health/Safety with UPPS-P Positive Urgency,522,.3356,.2483,.4196,.1713,.3240,-.0116
DOSPERT Risk-Taking Health/Safety with UPPS-P Sensation-Seeking,522,.3736,.2988,.4455,.1467,.3369,-.0367
DOSPERT Risk-Taking Health/Safety with Adaptive N-Back HDDM Drift,504,.0094,-.0762,.0935,.1696,.0638,.0544
DOSPERT Risk-Taking Health/Safety with Adaptive N-Back HDDM Non-Decision,504,-.0901,-.1818,-.0001,.1817,.1057,.0156
DOSPERT Risk-Taking Health/Safety with Adaptive N-Back HDDM Threshold,504,.0840,-.0001,.1717,.1718,.0908,.0068
DOSPERT Risk-Taking Health/Safety with Adaptive N-Back Mean Load,504,.0307,-.0626,.1280,.1906,.0748,.0440
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Keep Adjusted Clicks,522,.0174,-.0682,.1067,.1749,.0536,.0362
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Keep Loss Percent,522,.0591,-.0226,.1411,.1636,.0748,.0157
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Keep Score,522,-.0129,-.1014,.0782,.1796,.0566,.0437
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Release Adjusted Clicks,522,.0263,-.0506,.1014,.1520,.0689,.0426
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Release Loss Percent,522,.0237,-.0549,.1027,.1576,.0728,.0491
DOSPERT Risk-Taking Health/Safety with Angling Risk Task Release Score,522,.0135,-.0669,.0938,.1606,.0587,.0451
DOSPERT Risk-Taking Health/Safety with Attention Network Task Alerting HDDM Drift,198,-.0078,-.1456,.1343,.2799,.1071,.0992
DOSPERT Risk-Taking Health/Safety with Attention Network Task Conflict HDDM Drift,198,.1657,.0391,.2694,.2302,.1655,-.0003
DOSPERT Risk-Taking Health/Safety with Attention Network Task HDDM Drift,198,-.0763,-.2049,.0549,.2598,.1316,.0553
DOSPERT Risk-Taking Health/Safety with Attention Network Task HDDM Non-Decision,198,-.1053,-.2189,.0203,.2391,.1419,.0366
DOSPERT Risk-Taking Health/Safety with Attention Network Task HDDM Threshold,198,.0233,-.1109,.1598,.2707,.1104,.0871
DOSPERT Risk-Taking Health/Safety with Attention Network Task Orienting HDDM Drift,198,.0778,-.0581,.2130,.2711,.1120,.0342
DOSPERT Risk-Taking Health/Safety with Bickel Titrator Discount Rate Large,522,-.0073,-.0763,.0740,.1503,.0544,.0472
DOSPERT Risk-Taking Health/Safety with Bickel Titrator Discount Rate Medium,522,-.0149,-.1012,.0669,.1681,.0498,.0349
DOSPERT Risk-Taking Health/Safety with Bickel Titrator Discount Rate Small,522,-.0197,-.0817,.0427,.1245,.0460,.0263
DOSPERT Risk-Taking Health/Safety with Choice Reaction Time HDDM Drift,518,-.1582,-.2378,-.0752,.1626,.1557,-.0025
DOSPERT Risk-Taking Health/Safety with Choice Reaction Time HDDM Non-Decision,518,-.0984,-.1779,-.0184,.1595,.1089,.0105
DOSPERT Risk-Taking Health/Safety with Choice Reaction Time HDDM Threshold,518,-.0376,-.1283,.0509,.1791,.0819,.0442
DOSPERT Risk-Taking Health/Safety with Cognitive Reflection Task Correct Proportion,522,.0244,-.0606,.1115,.1721,.1093,.0849
DOSPERT Risk-Taking Health/Safety with Cognitive Reflection Task Intuitive Proportion,522,-.0006,-.0896,.0911,.1806,.0848,.0842
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Cold Average Cards Chosen,522,-.0131,-.1001,.0753,.1755,.0700,.0569
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Cold Gain Sensitivity,522,.0286,-.0637,.1230,.1868,.0810,.0523
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Cold Information Use,522,-.0173,-.1105,.0769,.1874,.0766,.0593
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Cold Loss Sensitivity,522,.0473,-.0283,.1206,.1490,.0721,.0248
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Cold Probability Sensitivity,522,.0639,-.0234,.1508,.1742,.0953,.0313
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Hot Average Cards Chosen,521,.0422,-.0413,.1284,.1697,.0748,.0326
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Hot Gain Sensitivity,521,.0140,-.0791,.1096,.1887,.0712,.0573
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Hot Information Use,521,.0144,-.0715,.0980,.1695,.0510,.0365
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Hot Loss Sensitivity,521,-.0453,-.1317,.0401,.1718,.0797,.0344
DOSPERT Risk-Taking Health/Safety with Columbia Card Task Hot Probability Sensitivity,521,-.0349,-.1132,.0448,.1580,.0826,.0476
DOSPERT Risk-Taking Health/Safety with Dietary Decision Task Health Sensitivity,522,-.0276,-.1267,.0766,.2034,.0734,.0458
DOSPERT Risk-Taking Health/Safety with Dietary Decision Task Taste Sensitivity,522,-.0842,-.1770,.0108,.1878,.0986,.0144
DOSPERT Risk-Taking Health/Safety with Digit Span Forward Span,522,.1021,.0198,.1844,.1645,.0975,-.0046
DOSPERT Risk-Taking Health/Safety with Digit Span Reverse Span,522,.0993,.0092,.1890,.1798,.1043,.0050
DOSPERT Risk-Taking Health/Safety with Directed Forgetting HDDM Drift,495,-.0378,-.1185,.0437,.1623,.0790,.0412
DOSPERT Risk-Taking Health/Safety with Directed Forgetting HDDM Non-Decision,495,.0303,-.0638,.1236,.1873,.0733,.0430
DOSPERT Risk-Taking Health/Safety with Directed Forgetting HDDM Threshold,495,.0356,-.0498,.1202,.1700,.0851,.0495
DOSPERT Risk-Taking Health/Safety with Directed Forgetting Proactive Interference HDDM Drift,490,-.0158,-.1074,.0754,.1829,.0882,.0724
DOSPERT Risk-Taking Health/Safety with Discount Titrator Percent Patient,522,-.0767,-.1635,.0151,.1786,.0956,.0189
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy AY.BY HDDM Drift,501,-.0763,-.1654,.0134,.1788,.1189,.0426
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy BX.BY HDDM Drift,501,-.1067,-.1920,-.0168,.1752,.1328,.0261
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy Bias,498,-.0761,-.1647,.0123,.1770,.1118,.0357
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy d',498,-.1070,-.1954,-.0170,.1784,.1117,.0048
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy HDDM Drift,504,-.0862,-.1694,-.0010,.1684,.0923,.0061
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy HDDM Non-Decision,504,-.1135,-.2012,-.0252,.1760,.1038,-.0097
DOSPERT Risk-Taking Health/Safety with Dot Pattern Expectancy HDDM Threshold,504,-.0672,-.1519,.0266,.1786,.0911,.0239
DOSPERT Risk-Taking Health/Safety with Go-No Go Bias,521,-.0237,-.1084,.0631,.1715,.0607,.0370
DOSPERT Risk-Taking Health/Safety with Go-No Go d',521,-.1664,-.2533,-.0762,.1772,.1620,-.0044
DOSPERT Risk-Taking Health/Safety with Hierarchical Learning Task Score,515,-.0427,-.1240,.0409,.1649,.0748,.0321
DOSPERT Risk-Taking Health/Safety with Holt & Laury Safe Choices,522,-.1119,-.1975,-.0274,.1701,.1149,.0029
DOSPERT Risk-Taking Health/Safety with Information Sampling Task Decreasing Win Probability Correct,514,-.0266,-.1090,.0601,.1691,.0595,.0329
DOSPERT Risk-Taking Health/Safety with Information Sampling Task Decreasing Win Motivation,503,.0269,-.0624,.1169,.1793,.0655,.0386
DOSPERT Risk-Taking Health/Safety with Information Sampling Task Fixed Win Probability Correct,514,-.0226,-.1109,.0667,.1776,.0810,.0584
DOSPERT Risk-Taking Health/Safety with Information Sampling Task Fixed Win Motivation,510,.0389,-.0455,.1247,.1702,.0653,.0264
DOSPERT Risk-Taking Health/Safety with Keep Track Task Score,514,.0720,-.0207,.1641,.1848,.0967,.0248
DOSPERT Risk-Taking Health/Safety with Kirby Discount Rate Large,522,.0750,-.0145,.1639,.1784,.0912,.0162
DOSPERT Risk-Taking Health/Safety with Kirby Discount Rate Medium,522,.0538,-.0344,.1439,.1783,.0858,.0320
DOSPERT Risk-Taking Health/Safety with Kirby Discount Rate Small,522,.0570,-.0334,.1470,.1805,.0848,.0278
DOSPERT Risk-Taking Health/Safety with Local-Global Letter Task HDDM Drift of Conflict,194,-.0033,-.1354,.1211,.2566,.1032,.0999
DOSPERT Risk-Taking Health/Safety with Local-Global Letter Task HDDM Drift,194,.0150,-.1163,.1419,.2582,.0985,.0835
DOSPERT Risk-Taking Health/Safety with Local-Global Letter Task HDDM Non-Decision,194,.0693,-.0610,.1962,.2572,.1252,.0559
DOSPERT Risk-Taking Health/Safety with Local-Global Letter Task HDDM Threshold,194,-.1079,-.2440,.0362,.2803,.1231,.0152
DOSPERT Risk-Taking Health/Safety with Local-Global Letter Task HDDM Drift of Switch Cost,194,.0220,-.1277,.1660,.2937,.1050,.0831
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal Reaction Time,361,.0668,-.0381,.1713,.2094,.1166,.0498
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal HDDM Drift,361,-.1472,-.2472,-.0459,.2013,.1582,.0111
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal HDDM Non-Decision,361,-.0401,-.1543,.0731,.2273,.0789,.0388
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal HDDM Threshold,361,-.0922,-.1984,.0185,.2169,.1152,.0230
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal Reactive Control,361,.1190,.0107,.2304,.2197,.1715,.0524
DOSPERT Risk-Taking Health/Safety with Motor Selective Stop Signal Proactive Control,361,-.1152,-.2103,-.0134,.1969,.1435,.0283
